#boots	id	seq	opened_by	opened_at	opened_offset	bytes	closed_at
boot	542	542	power	1786905439697	5024887	0	1786905441440
boot	543	543	session	1786905441440	5024889	2743	1786905495560
boot	544	544	session	1786905495560	5027652	17355	1786905553677
boot	545	545	session	1786905553677	5045118	0	1786905567256
boot	546	546	power	1786905567256	5027650	0	1786905579210
boot	547	547	power	1786905579210	5045118	19801	1786905816536
#lines	id	boot_id	ts_wall	stream_offset	terminator	text
line	106991	544	1786905523299	5030914	crlf	TzFastcall() failed for TZ_IO_ACCESS_WRITE_ID, Status = (0x7)
line	106992	544	1786905523299	5030977	crlf	ERROR: Failed to set DLOAD cookie
line	106993	544	1786905523337	5031014	crlf	CONF File   : uefiplatLA.cfg
line	106994	544	1786905523337	5031044	crlf	UEFI Ver    : 6.0.260212.BOOT.MXF.1.0.c1-00460-KODIAKLA-1
line	106995	544	1786905523337	5031103	crlf	Build Info  : 64b Feb 12 2026 16:55:36
line	106996	544	1786905523337	5031143	crlf	Boot Device : eMMC
line	106997	544	1786905523375	5031165	crlf	PROD Mode   : FALSE
line	106998	544	1786905523375	5031186	crlf	Retail      : FALSE
line	106999	544	1786905523375	5031207	crlf	
line	107000	544	1786905523375	5031209	crlf	DTB config    : client[0]..trace[0]..verbose[0]
line	107001	544	1786905523375	5031258	crlf	 - 0x05A6C8000 [ 1155] DxeCore.efi
line	107002	544	1786905523375	5031294	crlf	Loading DxeCore at 0x005A6C8000 EntryPoint=0x005A6C9000
line	107003	544	1786905523414	5031353	crlf	HOBLIST address in DXE = 0x5A4B8018
line	107004	544	1786905523452	5031392	crlf	FV Hob            0x5F800000 - 0x5FBEFFFF
line	107005	544	1786905523452	5031435	crlf	FV Hob            0x5A6FC000 - 0x5AA40FFF
line	107006	544	1786905523755	5031480	crlf	FV2 Hob           0x5A6FC000 - 0x5AA40FFF
line	107007	544	1786905523755	5031523	crlf	                  631008B0-B2D1-410A-8B49-2C5C4D8ECC7E - 00000000-0000-0000-0000-000000000000
line	107008	544	1786905523793	5031620	crlf	 - 0x05A644000 [ 1158] PcdDxe.efi
line	107009	544	1786905523793	5031655	crlf	 - 0x05A661000 [ 1159] EnvDxe.efi
line	107010	544	1786905523793	5031690	crlf	 - 0x05A658000 [ 1159] RscRtDxe.efi
line	107011	544	1786905523793	5031727	crlf	 - 0x05A650000 [ 1159] SCHandlerRtDxe.efi
line	107012	544	1786905523793	5031770	crlf	 - 0x05A18D000 [ 1160] RuntimeDxe.efi
