#boots	id	seq	opened_by	opened_at	opened_offset	bytes	closed_at
boot	473	473	power	1786889601328	4375012	23399	1786890396811
boot	474	474	session	1786890396811	4398602	0	1786891749016
boot	475	475	session	1786891749016	4398602	0	1786894145907
boot	476	476	session	1786894145907	4398602	0	1786894207026
boot	477	477	session	1786894207026	4398602	0	1786895260543
#lines	id	boot_id	ts_wall	stream_offset	terminator	text
line	91518	473	1786889586631	4381789	crlf	 - 0x05A190000 [ 1160] RuntimeDxe.efi
line	91519	473	1786889586631	4381828	crlf	 - 0x05A63A000 [ 1160] ArmCpuDxe.efi
line	91520	473	1786889586631	4381866	crlf	After Create Event Status (0x0)
line	91521	473	1786889586631	4381899	crlf	 - 0x05A631000 [ 1161] ArmGicDxe.efi
line	91522	473	1786889586665	4381939	crlf	 - 0x05A62A000 [ 1161] MetronomeDxe.efi
line	91523	473	1786889586665	4381980	crlf	 - 0x05A622000 [ 1162] ArmTimerDxe.efi
line	91524	473	1786889586701	4382022	crlf	 - 0x05A618000 [ 1162] SmemDxe.efi
line	91525	473	1786889586733	4382060	crlf	 - 0x05A5E2000 [ 1162] DALSys.efi
line	91526	473	1786889586733	4382095	crlf	 - 0x05A5DA000 [ 1163] HWIODxeDriver.efi
line	91527	473	1786889586733	4382137	crlf	 - 0x05A5CF000 [ 1163] ChipInfo.efi
line	91528	473	1786889586733	4382174	crlf	 - 0x05A5C7000 [ 1163] PlatformInfoDxeDriver.efi
line	91529	473	1786889586733	4382224	crlf	 - 0x05A58D000 [ 1163] HALIOMMU.efi
line	91530	473	1786889586733	4382261	crlf	 - 0x05A579000 [ 1170] ULogDxe.efi
line	91531	473	1786889586733	4382297	crlf	 - 0x05A56B000 [ 1170] GlinkDxe.efi
line	91532	473	1786889586733	4382334	crlf	 - 0x05A552000 [ 1173] NpaDxe.efi
line	91533	473	1786889586767	4382371	crlf	Module cannot re-initialize DAL module environment
line	91534	473	1786889586767	4382423	crlf	 - 0x05A547000 [ 1174] VcsDxe.efi
line	91535	473	1786889586767	4382458	crlf	 - 0x05A521000 [ 1174] ClockDxe.efi
line	91536	473	1786889586767	4382495	crlf	 >>> Cluster 0: 1612800000 Hz
line	91537	473	1786889586767	4382526	crlf	 - 0x05A187000 [ 1175] ShmBridgeDxeLA.efi
line	91538	473	1786889586767	4382569	crlf	 - 0x05A176000 [ 1175] ScmDxeCompat.efi
line	91539	473	1786889586801	4382612	crlf	 - 0x05A515000 [ 1179] DALTLMM.efi
line	91540	473	1786889586801	4382648	crlf	 - 0x05A50A000 [ 1182] SPMI.efi
line	91541	473	1786889586833	4382683	crlf	 - 0x05A4FA000 [ 1184] I2C.efi
line	91542	473	1786889586833	4382715	crlf	 - 0x05A4EE000 [ 1185] BoardInfoDxe.efi
line	91543	473	1786889586833	4382756	crlf	 - 0x05A16D000 [ 1185] ResetRuntimeDxe.efi
line	91544	473	1786889586833	4382800	crlf	 - 0x05A4E7000 [ 1185] Qup.efi
line	91545	473	1786889586833	4382832	crlf	 - 0x05A4C7000 [ 1185] PmicDxe.efi
line	91546	473	1786889586833	4382868	crlf	PM0: 55, 
line	91547	473	1786889586833	4382879	crlf	Module cannot re-initialize DAL module environment
line	91548	473	1786889586833	4382931	crlf	 - 0x05A162000 [ 1191] DiskIoDxe.efi
line	91549	473	1786889586833	4382969	crlf	 - 0x05A155000 [ 1191] PartitionDxe.efi
line	91550	473	1786889586833	4383010	crlf	 - 0x05A14D000 [ 1191] EnglishDxe.efi
line	91551	473	1786889586833	4383049	crlf	 - 0x05A142000 [ 1192] FvSimpleFileSystem.efi
line	91552	473	1786889586869	4383098	crlf	 - 0x05A122000 [ 1192] SdccDxe.efi
line	91553	473	1786889586869	4383134	crlf	 - 0x05A0AC000 [ 1245] Fat.efi
line	91554	473	1786889586869	4383166	crlf	 - 0x05A09C000 [ 1245] TzDxeLA.efi
line	91555	473	1786889586869	4383202	crlf	 - 0x05A006000 [ 1250] VariableDxe.efi
line	91556	473	1786889586869	4383242	crlf	tz_armv8_smc_call failed, TzStatus = 0xFFFFFFFF,  SmcId = 0x32000105  
line	91557	473	1786889587195	4383316	crlf	Status = 0x3
line	91558	473	1786889587195	4383330	crlf	APP_REGION_NOTIFICATION_CMD: Syscall Not Supported, status 3
line	91559	473	1786889587195	4383392	crlf	 - 0x059B93000 [ 1338] QcomWDogDxe.efi
line	91560	473	1786889587227	4383434	crlf	HW Wdog Setting from PCD : Disabled
line	91561	473	1786889587227	4383471	crlf	 - 0x059B8C000 [ 1340] WatchdogTimer.efi
line	91562	473	1786889587227	4383513	crlf	 - 0x059B84000 [ 1340] EmbeddedMonotonicCounter.efi
line	91563	473	1786889587227	4383566	crlf	 - 0x059B7B000 [ 1342] RealTimeClock.efi
line	91564	473	1786889587227	4383608	crlf	 - 0x059B54000 [ 1344] DevicePathDxe.efi
line	91565	473	1786889587227	4383650	crlf	 - 0x059B41000 [ 1344] CapsuleRuntimeDxe.efi
line	91566	473	1786889587263	4383698	crlf	 - 0x059AFA000 [ 1345] HiiDatabase.efi
line	91567	473	1786889587263	4383738	crlf	 - 0x059B72000 [ 1345] FontDxe.efi
line	91568	473	1786889587263	4383774	crlf	 - 0x0599D3000 [ 1351] QcomBds.efi
